wdb_code,region,pt,iso3,ponto_lat,ponto_lon,is_small,continent5,continent7
GEO,Georgia,Geórgia,GEO,42.08,43.47,NA,Asia,Europe
DEU,Germany,Alemanha,DEU,50.97,10.4,NA,Europe,Europe
GHA,Ghana,Gana,GHA,7.93,-1.19,NA,Africa,Africa
GRC,Greece,Grécia,GRC,39.19,22.81,NA,Europe,Europe
GRD,Grenada,Granada,GRD,12.12,-61.68,Yes,America,Central America
GUM,Guam,Guam,GUM,13.43,144.75,Yes,Oceania,Oceania
GTM,Guatemala,Guatemala,GTM,15.52,-90.27,NA,America,Central America
GIN,Guinea,Guiné,GIN,10.6,-11.19,NA,Africa,Africa
GNB,Guinea-Bissau,Guiné-Bissau,GNB,12,-14.92,NA,Africa,Africa
GUY,Guyana,Guiana,GUY,4.99,-58.95,NA,America,South America
HTI,Haiti,Haiti,HTI,18.99,-72.79,NA,America,Central America
HND,Honduras,Honduras,HND,14.83,-86.86,NA,America,Central America
HKG,Hong Kong,Hong Kong,HKG,22.35,114.13,Yes,Asia,Asia
HUN,Hungary,Hungria,HUN,46.97,19.41,NA,Europe,Europe
ISL,Iceland,Islândia,ISL,64.74,-18.54,NA,Europe,Europe
IND,India,Índia,IND,22.7,78.55,NA,Asia,Asia
IDN,Indonesia,Indonésia,IDN,-2.39,113.15,NA,Asia,Asia
IRN,Iran,Irã,IRN,31.83,54.32,NA,Asia,Asia
IRQ,Iraq,Iraque,IRQ,33.03,43.25,NA,Asia,Asia
IRL,Ireland,Irlanda,IRL,53.12,-8.09,NA,Europe,Europe
ISR,Israel,Israel,ISR,31.17,34.85,NA,Asia,Asia
ITA,Italy,Itália,ITA,43.01,12.47,NA,Europe,Europe
CIV,Ivory Coast,Costa do Marfim,CIV,7.49,-5.52,NA,Africa,Africa
JAM,Jamaica,Jamaica,JAM,18.14,-77.32,NA,America,Central America
JPN,Japan,Japão,JPN,36.28,138.27,NA,Asia,Asia
JOR,Jordan,Jordânia,JOR,31.27,36.35,NA,Asia,Asia
KAZ,Kazakhstan,Cazaquistão,KAZ,48.1,66.4,NA,Asia,Asia
KEN,Kenya,Quênia,KEN,0.41,37.82,NA,Africa,Africa
KIR,Kiribati,Kiribati,KIR,-3.36,-168.81,Yes,Oceania,Oceania
KWT,Kuwait,Kuwait,KWT,29.41,47.69,Yes,Asia,Asia
KGZ,Kyrgyzstan,Quirguistão,KGZ,41.48,74.63,NA,Asia,Asia
LAO,Laos,Laos,LAO,19.75,102.51,NA,Asia,Asia
LVA,Latvia,Letônia,LVA,56.94,25.62,NA,Europe,Europe
LBN,Lebanon,Líbano,LBN,34.04,35.94,NA,Asia,Asia
LSO,Lesotho,Lesoto,LSO,-29.56,28.27,NA,Africa,Africa
LBR,Liberia,Libéria,LBR,6.39,-9.41,NA,Africa,Africa
LBY,Libya,Líbia,LBY,27.13,17.49,NA,Africa,Africa
LIE,Liechtenstein,Liechtenstein,LIE,47.15,9.54,Yes,Europe,Europe
LTU,Lithuania,Lituânia,LTU,55.47,23.97,NA,Europe,Europe
LUX,Luxembourg,Luxemburgo,LUX,49.75,6.12,Yes,Europe,Europe
MAC,Macao,Macau,MAC,22.14,113.56,Yes,Asia,Asia
MKD,Macedonia,Macedônia do Norte,MKD,41.61,21.71,NA,Europe,Europe
MDG,Madagascar,Madagáscar,MDG,-20.13,46.21,NA,Africa,Africa
